
========================================
Start Time             : 2026-07-15T00:35:25.243569
========================================
78 | findTheDifference | statement | 66.67% | 3.13ms | 152.75MB | 3 cases
56 | isSubsequence | statement | 100.00% | 3.14ms | 192.31MB | 1 cases
70 | toHex | statement | 90.00% | 1.47ms | 188.49MB | 2 cases
50 | validWordAbbreviation | statement | 100.00% | 10.96ms | 165.62MB | 4 cases
80 | longestPalindrome | statement | 92.31% | 27.85ms | 148.89MB | 2 cases
52 | characterReplacement | statement | 70.00% | 2.63ms | 160.99MB | 3 cases
76 | findLUSlength | statement | 66.67% | 0.52ms | 160.78MB | 1 cases
3 | findLUSlength | statement | 85.71% | 20.33ms | 170.34MB | 2 cases
4 | check | statement | 100.00% | 3.21ms | 222.02MB | 1 cases
30 | checkRecord | statement | 66.67% | 1.14ms | 224.98MB | 2 cases
16 | countSubstrings | statement | 100.00% | 7.91ms | 219.53MB | 1 cases
18 | findSubstringInWraproundString | statement | 80.00% | 2.29ms | 219.51MB | 1 cases
72 | repeatedStringMatch | statement | 18.18% | 0.59ms | 219.14MB | 1 cases
46 | countBinarySubstrings | statement | 100.00% | 4.73ms | 236.41MB | 1 cases
26 | scoreOfParentheses | statement | 80.00% | 2.50ms | 224.65MB | 3 cases
58 | match | statement | 91.67% | 4.92ms | 214.80MB | 1 cases
10 | numPermsDISequence | statement | 81.48% | 25.48ms | 208.86MB | 2 cases
24 | isLongPressedName | statement | 88.89% | 7.21ms | 242.97MB | 2 cases
36 | minFlipsMonoIncr | statement | 100.00% | 7.68ms | 234.82MB | 2 cases

========================================
Start Time             : 2026-07-15T04:31:05.105288
========================================
54 | lengthOfLongestSubstring | mcdc | 100.00% | 4.39ms | 115.36MB | 1 cases
42 | myAtoi | mcdc | 50.00% | 5.17ms | 125.13MB | 5 cases
66 | longestCommonPrefix | mcdc | 75.00% | 24.23ms | 114.58MB | 2 cases
44 | strStr | mcdc | 100.00% | 8.31ms | 224.61MB | 5 cases
40 | longestValidParentheses | mcdc | 80.00% | 6.16ms | 173.28MB | 4 cases
68 | multiply | mcdc | 100.00% | 36.75ms | 136.22MB | 3 cases
34 | numDecodings | mcdc | 50.00% | 2.09ms | 95.28MB | 2 cases
6 | isPalindrome | mcdc | 100.00% | 6.38ms | 204.64MB | 4 cases
38 | isOneEditDistance | mcdc | 90.00% | 6.58ms | 165.11MB | 5 cases
22 | compareVersion | mcdc | 62.50% | 5.38ms | 137.17MB | 2 cases
74 | titleToNumber | mcdc | 100.00% | 2.51ms | 140.77MB | 1 cases
62 | shortestPalindrome | mcdc | 100.00% | 30.25ms | 120.32MB | 2 cases
64 | isAnagram | mcdc | 87.50% | 7.25ms | 223.20MB | 3 cases
60 | shortestDistance | mcdc | 90.00% | 6.58ms | 203.10MB | 2 cases
32 | shortestWordDistance | mcdc | 66.67% | 6.97ms | 189.41MB | 4 cases
20 | getHint | mcdc | 100.00% | 36.52ms | 215.89MB | 2 cases
14 | reverseString | mcdc | 100.00% | 2.11ms | 204.15MB | 1 cases
48 | canConstruct | mcdc | 66.67% | 4.41ms | 191.39MB | 4 cases
12 | firstUniqChar | mcdc | 50.00% | 2.54ms | 185.42MB | 2 cases
78 | findTheDifference | mcdc | 50.00% | 3.18ms | 187.44MB | 3 cases
56 | isSubsequence | mcdc | 100.00% | 5.68ms | 197.80MB | 3 cases
70 | toHex | mcdc | 83.33% | 1.46ms | 206.94MB | 2 cases
50 | validWordAbbreviation | mcdc | 83.33% | 13.43ms | 188.91MB | 5 cases
80 | longestPalindrome | mcdc | 66.67% | 27.62ms | 154.45MB | 2 cases
52 | characterReplacement | mcdc | 50.00% | 2.68ms | 137.86MB | 3 cases
76 | findLUSlength | mcdc | 50.00% | 0.53ms | 146.13MB | 1 cases
3 | findLUSlength | mcdc | 87.50% | 22.69ms | 160.12MB | 1 cases
